Agency,Government Branch ,Department Agency,Child Agency,Website,Other Websites,
Center for Food Safety and Applied Nutrition,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,Food and Drug Administration,https://www.fda.gov/about-fda/fda-organization/center-food-safety-and-applied-nutrition-cfsan,,
Center for Nutrition Policy and Promotion (CNPP),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture,,https://www.fns.usda.gov/cnpp,https://www.choosemyplate.gov/,
Center for Parent Information and Resources (CPIR),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Education ,Office of Special Education and Rehabilitative Services ,https://www.parentcenterhub.org/,,
Centers for Disease Control and Prevention (CDC),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,,https://www.cdc.gov/,,
Centers for Medicare and Medicaid Services (CMS),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,,https://www.cms.gov/,,
Central Command (CENTCOM),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,Unified Combatant Commands ,https://www.centcom.mil/,,
Central Intelligence Agency (CIA),Independent Agency,,,https://www.cia.gov/index.html,,
Chemical Safety Board,"Independent Board, Commission, Committee",,,https://www.csb.gov/,,
Chief Acquisition Officers Council,None,,,https://www.cao.gov/cao-home,,
Chief Financial Officers Council,None,,,https://cfo.gov/,,
Chief Human Capital Officers Council,None,,,https://www.chcoc.gov/,,
Chief Information Officers Council,None,,,https://www.cio.gov/,,
"Child Support Enforcement, Office of (OCSE)",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,Administration for Children and Families ,https://www.acf.hhs.gov/css,,
Circuit Courts of Appeal,Judicial ,,,https://www.uscourts.gov/about-federal-courts,,
Citizens' Stamp Advisory Committee,"Independent Board, Commission, Committee",,,https://about.usps.com/who-we-are/csac/welcome.htm,,
Citizenship and Immigration Services (USCIS),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Homeland Security ,,https://www.uscis.gov/,,
"Civil Rights Division, Department of Justice",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice,,https://www.justice.gov/crt,,
"Civil Rights, Department of Education Office of",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Education ,,https://www2.ed.gov/about/offices/list/ocr/index.html,,
"Civil Rights, Department of Health and Human Services Office for",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,,https://www.hhs.gov/ocr/index.html,,
Coast Guard,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Homeland Security ,,https://www.uscg.mil/,https://www.uscgboating.org/,
Commerce Department (DOC),Executive Department ,White House,,https://www.commerce.gov/,,
Commission of Fine Arts,"Independent Board, Commission, Committee",,,https://www.cfa.gov/,,
Commission on Civil Rights,Independent Agency,,,https://www.usccr.gov/,,
Commission on International Religious Freedom,Executive Department Sub-Office/Agency/Bureau,,,https://www.uscirf.gov/,,
Commission on Presidential Scholars,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Education ,,https://www2.ed.gov/programs/psp/commission.html?exp=0,,
Commission on Security and Cooperation in Europe (Helsinki Commission),Independent Agency,,,https://www.csce.gov/,,
Committee for the Implementation of Textile Agreements,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Commerce,International Trade Administration ,https://otexa.trade.gov/cita_otexa.htm,,
Committee on Foreign Investment in the United States,"Independent Board, Commission, Committee",U.S. Department of the Treasury,,https://www.treasury.gov/about/organizational-structure/offices/International-Affairs/Pages/cfius-index.aspx,,
Commodity Futures Trading Commission (CFTC),Independent Agency,,,https://www.cftc.gov/,,
Community Oriented Policing Services (COPS),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice ,,https://www.cops.usdoj.gov/,,
Community Planning and Development,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Housing and Urban Development ,,https://www.hud.gov/program_offices/comm_planning,,
"Compliance, Office of",Legislative,U.S. House of Representatives ,,https://www.ocwr.gov/,,
"Comptroller of the Currency, Office of (OCC)",Executive Department Sub-Office/Agency/Bureau,U.S. Department of the Treasury ,,https://www.occ.gov/,,
Computer Emergency Readiness Team (US CERT),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Homeland Security ,,https://www.us-cert.gov/,,
Congress—U.S. House of Representatives,Legislative,,,https://www.house.gov/,,
Congress—U.S. Senate,Legislative,,,https://www.senate.gov/,,
Congressional Budget Office (CBO),Legislative,U.S. House of Representatives,,https://www.cbo.gov/,,
Congressional Research Service,Legislative,U.S. House of Representatives,Library of Congress,https://www.loc.gov/crsinfo/about/,,
"Consular Affairs, Bureau of",Executive Department Sub-Office/Agency/Bureau,U.S. Department of State ,,https://travel.state.gov/content/travel.html,,
Consumer Financial Protection Bureau,Independent Agency,,,https://www.consumerfinance.gov/,,
Consumer Product Safety Commission (CPSC),Independent Agency,,,https://www.cpsc.gov/,https://www.recalls.gov/,https://www.saferproducts.gov/Default.aspx
Coordinating Council on Juvenile Justice and Delinquency Prevention,"Independent Board, Commission, Committee",,,https://www.juvenilecouncil.gov/,,
Copyright Office,Legislative,U.S. House of Representatives,Library of Congress,https://www.copyright.gov/,,
Corporation for National and Community Service (CNCS),Independent Agency,,,https://www.nationalservice.gov/about/contact-us,,
Corps of Engineers,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,U.S. Army,https://www.usace.army.mil/,,
Council of Economic Advisers,Executive Office of the President,White House,,https://www.whitehouse.gov/cea/,,
Council of the Inspectors General on Integrity and Efficiency,"Independent Board, Commission, Committee",,,https://www.ignet.gov/,,
Council on Environmental Quality,Executive Office of the President,White House,,https://www.whitehouse.gov/ceq/,,
Court of Appeals for the Armed Forces,Judicial ,,,https://www.armfor.uscourts.gov/newcaaf/home.htm,,
Court of Appeals for the Federal Circuit,Judicial ,Supreme Court of the United States,,http://www.cafc.uscourts.gov/,,
Court of Appeals for Veterans Claims,Judicial ,,,http://www.uscourts.cavc.gov/,,
Court of Federal Claims,Judicial ,,,http://www.uscfc.uscourts.gov/,,
Court of International Trade,Judicial ,,,https://www.cit.uscourts.gov/,,
Court Services and Offender Supervision Agency for the District of Columbia,Executive Department Sub-Office/Agency/Bureau,,,https://www.csosa.gov/,,
Customs and Border Protection,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Homeland Security ,,https://www.cbp.gov/,,
Cybersecurity and Infrastructure Security Agency (CISA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Homeland Security ,,https://www.cisa.gov/,,
Debt and Claims Management Center,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,Defense Finance and Accounting Service ,https://www.dfas.mil/debtandclaims/,,
Defense Acquisition University,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://www.dau.edu/,,
Defense Advanced Research Projects Agency (DARPA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://www.darpa.mil/,,
Defense Commissary Agency,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://www.commissaries.com/,,
Defense Contract Audit Agency,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://www.dcaa.mil/,,
Defense Contract Management Agency,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://www.dcma.mil/,,
Defense Department (DOD),Executive Department,White House,,https://www.defense.gov/,,
Defense Finance and Accounting Service (DFAS),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://www.dfas.mil/,,
Defense Finance and Accounting Service Debt and Claims Management Center,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,Defense Finance and Accounting Service ,https://www.dfas.mil/debtandclaims/,,
Defense Health Agency,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://www.health.mil/About-MHS/Contact-Us,https://tricare.mil/ContactUs,
Defense Information Systems Agency (DISA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://www.disa.mil/,,
Defense Intelligence Agency (DIA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://www.dia.mil/,,
Defense Logistics Agency (DLA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://www.dla.mil/,,
Defense Nuclear Facilities Safety Board,Independent Agency,,,https://www.dnfsb.gov/,,
Defense Security Cooperation Agency (DSCA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://www.dsca.mil/,,
Defense Security Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://www.dcsa.mil/,,
Defense Technical Information Center (DTIC),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://discover.dtic.mil/,,
Defense Threat Reduction Agency (DTRA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://www.dtra.mil/,,
Delaware River Basin Commission,"Independent Board, Commission, Committee",,,https://www.state.nj.us/drbc/,,
Delta Regional Authority,"Independent Board, Commission, Committee",,,https://dra.gov/,,
Denali Commission,Independent Agency,,,http://www.denali.gov/,,
Department of Agriculture (USDA),Executive Department,White House,,https://www.usda.gov/,,
Department of Commerce (DOC),Executive Department,White House,,https://www.commerce.gov/,,
Department of Defense (DOD),Executive Department,White House,,https://www.defense.gov/,,
Department of Education (ED),Executive Department,White House,,https://www.ed.gov/,,
Department of Energy (DOE),Executive Department,White House,,https://www.energy.gov/,,
Department of Health and Human Services (HHS),Executive Department,White House,,https://www.hhs.gov/,,
Department of Homeland Security (DHS),Executive Department,White House,,https://www.dhs.gov/,,
Department of Housing and Urban Development (HUD),Executive Department,White House,,https://www.hud.gov/,,
Department of Justice (DOJ),Executive Department,White House,,https://www.justice.gov/,,
Department of Labor (DOL),Executive Department,White House,,https://www.dol.gov/,,
Department of State (DOS),Executive Department,White House,,https://www.state.gov/,,
Department of the Interior (DOI),Executive Department,White House,,https://www.doi.gov/,,
Department of the Treasury,Executive Department,White House,,https://home.treasury.gov/,,
Department of Transportation (DOT),Executive Department,White House,,https://www.transportation.gov/,,
Department of Veterans Affairs (VA),Executive Department,White House,,https://www.va.gov/,,
"Director of National Intelligence, Office of",Independent Agency,,,https://www.dni.gov/,,
"Disability Employment Policy, Office of (ODEP)",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Labor,,https://www.dol.gov/odep/,,
Drug Enforcement Administration (DEA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice,,https://www.dea.gov/,,
Dwight D. Eisenhower School for National Security and Resource Strategy,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,National Defense University ,https://www.ndu.edu/Academics/CollegesCenters/TheEisenhowerSchool.aspx,,
"Economic Analysis, Bureau of (BEA)",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Commerce,,https://www.bea.gov/,,
Economic Development Administration (EDA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Commerce,,https://www.eda.gov/,,
"Economic Growth, Energy, and the Environment",Executive Department Sub-Office/Agency/Bureau,U.S. Department of State ,,https://www.state.gov/bureaus-offices/under-secretary-for-economic-growth-energy-and-the-environment/,,
Economic Research Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture,,https://www.ers.usda.gov/,,
Education Department (ED),Executive Department,White House,,https://www.ed.gov/,,
Elder Justice Initiative,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice ,,https://www.justice.gov/elderjustice,,
Election Assistance Commission (EAC),Executive Department Sub-Office/Agency/Bureau,,,https://www.eac.gov/,,
"Elementary and Secondary Education, Office of",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Education ,,https://oese.ed.gov/,,
Employee Benefits Security Administration (EBSA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Labor ,,https://www.dol.gov/agencies/ebsa,,
Employment and Training Administration,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Labor ,,https://www.dol.gov/agencies/eta/,,
Endangered Species Program,"Independent Board, Commission, Committee",U.S. Department of the Interior,Fish and Wildlife Service ,https://www.fws.gov/endangered/,,
Energy Department (DOE),Executive Department ,White House,,https://www.energy.gov/,,
Energy Information Administration,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy ,,https://www.eia.gov/,,
Energy Star Program,Executive Department Sub-Office/Agency/Bureau,Environmental Protection Agency ,,https://www.energystar.gov/,,
English Language Acquisition Office,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Education ,,https://www2.ed.gov/about/offices/list/oela/index.html?src=oc,,
"Engraving and Printing, Bureau of (BEP)",Executive Department Sub-Office/Agency/Bureau,U.S. Department of the Treasury ,,https://www.moneyfactory.gov/,,
"Environmental Management, Office of",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy ,,https://www.energy.gov/em/office-environmental-management,,
Environmental Protection Agency (EPA),Executive Department Sub-Office/Agency/Bureau,,,https://www.epa.gov/,,
Equal Employment Opportunity Commission (EEOC),Independent Agency,,,https://www.eeoc.gov/,,
European Command,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,Unified Combatant Commands ,https://www.eucom.mil/,,
Executive Office for Immigration Review,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice ,,https://www.justice.gov/eoir,,
Export-Import Bank of the United States,Independent Agency,,,https://www.exim.gov/,,
Fair Housing and Equal Opportunity (FHEO),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Housing and Urban Development ,,https://www.hud.gov/program_offices/fair_housing_equal_opp,,
Fannie Mae,Quasi-official,Federal Housing Finance Agency ,,https://www.fanniemae.com/portal/index.html,,
Farm Credit Administration,Independent Agency,,,https://www.fca.gov/,,
Farm Credit System Insurance Corporation,Executive Department Sub-Office/Agency/Bureau,,,https://www.fcsic.gov/,,
Farm Service Agency,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture ,,https://www.fsa.usda.gov/,,
Federal Accounting Standards Advisory Board,Executive Department Sub-Office/Agency/Bureau,,,https://fasab.gov/,,
Federal Aviation Administration (FAA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Transportation ,,https://www.faa.gov/,,
Federal Bureau of Investigation (FBI),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice ,,https://www.fbi.gov/,,
Federal Bureau of Prisons (BOP),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice ,,https://www.bop.gov/,,
Federal Citizen Information Center,Executive Department Sub-Office/Agency/Bureau,General Services Administration,,https://www.usa.gov/explore,,
Federal Communications Commission (FCC),Independent Agency,,,https://www.fcc.gov/,,
Federal Consulting Group,Executive Department Sub-Office/Agency/Bureau,U.S. Department of the Interior ,,https://www.fcg.gov/,,
Federal Court Interpreters,Judicial ,Supreme Court of the United States ,,https://www.uscourts.gov/services-forms/federal-court-interpreters,,
Federal Deposit Insurance Corporation (FDIC),Independent Agency,,,https://www.fdic.gov/,,
Federal Election Commission,Independent Agency,,,https://www.fec.gov/,,
Federal Emergency Management Agency (FEMA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Homeland Security ,,https://www.fema.gov/,,
Federal Energy Regulatory Commission,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy ,,https://www.ferc.gov/,,
Federal Executive Boards,Executive Department Sub-Office/Agency/Bureau,Office of Personnel Management ,,https://www.feb.gov/,,
Federal Financial Institutions Examination Council,"Independent Board, Commission, Committee",,,https://www.ffiec.gov/,,
Federal Financing Bank,"Independent Board, Commission, Committee",U.S. Department of the Treasury ,,https://ffb.treasury.gov/,,
Federal Geographic Data Committee,"Independent Board, Commission, Committee",,,https://www.fgdc.gov/,,
Federal Highway Administration (FHA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Transportation ,,https://highways.dot.gov/,,
Federal Home Loan Mortgage Corporation (Freddie Mac),Quasi-official,Federal Housing Finance Agency ,,http://www.freddiemac.com/,,
Federal Housing Administration (FHA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Housing and Urban Development ,Office of Housing ,https://www.hud.gov/federal_housing_administration,,
Federal Housing Finance Agency,Independent Agency,,,https://www.fhfa.gov/,,
Federal Interagency Committee on Education,"Independent Board, Commission, Committee",,,https://www2.ed.gov/about/bdscomm/list/com.html#fice,,
Federal Interagency Council on Statistical Policy,"Independent Board, Commission, Committee",,,https://nces.ed.gov/FCSM/index.asp,,
Federal Judicial Center,Judicial ,,,https://www.fjc.gov/,,
Federal Labor Relations Authority (FLRA),Independent Agency,,,https://www.flra.gov/,,
Federal Laboratory Consortium for Technology Transfer,"Independent Board, Commission, Committee",,,https://www.federallabs.org/,,
Federal Law Enforcement Training Center (FLETC),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Homeland Security ,,https://www.fletc.gov/,,
Federal Library and Information Center Committee,"Independent Board, Commission, Committee",,,https://www.loc.gov/flicc/,,
Federal Maritime Commission,Independent Agency,,,https://www.fmc.gov/,,
Federal Mediation and Conciliation Service,Independent Agency,,,https://www.fmcs.gov/,,
Federal Mine Safety and Health Review Commission,Independent Agency,,,https://www.fmshrc.gov/,,
Federal Motor Carrier Safety Administration (FMCSA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Transportation ,,https://www.fmcsa.dot.gov/,,
Federal National Mortgage Association (Fannie Mae),Quasi-official,Federal Housing Finance Agency ,,https://www.fanniemae.com/portal/index.html,,
Federal Protective Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Homeland Security ,,https://www.dhs.gov/topic/federal-protective-service,,
Federal Railroad Administration (FRA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Transportation ,,https://railroads.dot.gov/,,
Federal Register,Executive Department Sub-Office/Agency/Bureau,National Archives and Records Administration ,,https://www.archives.gov/federal-register,,
Federal Reserve System,Independent Agency,,,https://www.federalreserve.gov/,,
Federal Retirement Thrift Investment Board,Independent Agency,,,https://www.frtib.gov/,,
Federal Student Aid Information Center,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Education ,,https://studentaid.gov/,,
Federal Trade Commission (FTC),Independent Agency,,,https://www.ftc.gov/,https://www.consumer.ftc.gov/,
Federal Transit Administration (FTA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Transportation ,,https://www.transit.dot.gov/,,
Federal Voting Assistance Program,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense ,,https://www.fvap.gov/,,
FedStats,"Independent Board, Commission, Committee",,,https://nces.ed.gov/FCSM/index.asp,,
Fermi National Accelerator Laboratory,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy,National Laboratories ,https://www.fnal.gov/,,
Fire Administration (USFA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Homeland Security,Federal Emergency Management Agency ,https://www.usfa.fema.gov/,,
"Fiscal Service, Bureau of the",Executive Department Sub-Office/Agency/Bureau,U.S. Department of the Treasury ,,https://www.fiscal.treasury.gov/,https://www.treasurydirect.gov/,
Fish and Wildlife Service (FWS),Executive Department Sub-Office/Agency/Bureau,U.S. Department of the Interior,,https://www.fws.gov/,,
Fleet Forces Command,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://www.public.navy.mil/usff/Pages/default.aspx,,
"Food and Agriculture, National Institute of (NIFA)",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture,,https://nifa.usda.gov/,,
Food and Drug Administration (FDA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,,https://www.fda.gov/,,
Food and Nutrition Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture,,https://www.fns.usda.gov/,,
Food Safety and Inspection Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture,,https://www.fsis.usda.gov/wps/portal/fsis/home,,
Foreign Agricultural Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture,,https://www.fas.usda.gov/,,
Foreign Claims Settlement Commission,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice,,https://www.justice.gov/fcsc,,
Forest Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture,,https://www.fs.usda.gov/,,
