"branch","agency","subagency","admin","institution","az_index","gov_man","ffrdcs","ffs"
"executive office of the u.s. president","white house",NA,NA,"u.s. council of economic advisers",1,0,0,0
"executive office of the u.s. president","white house",NA,NA,"u.s. council on environmental quality",1,0,0,0
"executive office of the u.s. president","white house",NA,NA,"u.s. national security council",1,0,0,0
"executive office of the u.s. president","white house",NA,NA,"u.s. office of management and budget",1,0,0,0
"executive office of the u.s. president","white house",NA,NA,"u.s. office of national drug control policy",1,0,0,0
"executive office of the u.s. president","white house",NA,NA,"u.s. office of science and technology policy",1,0,0,0
"executive office of the u.s. president","white house",NA,NA,"u.s. trade representative",1,0,0,0
"executive office of the u.s. president",NA,NA,NA,"the president",0,1,0,0
"executive office of the u.s. president",NA,NA,NA,"the vice president",0,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of agriculture",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of commerce",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of defense",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of education",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of energy",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of health and human services",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of homeland security",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of housing and urban development",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of justice",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of labor",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of state",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of the interior",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of the treasury",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of transportation",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of veterans affairs",1,1,0,0
"u.s. executive branch","u.s. department of agriculture","science and education administration",NA,"cooperative state research service",0,0,0,1
"u.s. executive branch","u.s. department of agriculture","science and education administration",NA,"national agricultural library",0,0,0,1
"u.s. executive branch","u.s. department of agriculture","science and education administration",NA,"u.s. agricultural research service",0,0,0,1
"u.s. executive branch","u.s. department of agriculture","u.s. economic research service",NA,"farmer cooperative service",0,0,0,1
"u.s. executive branch","u.s. department of agriculture","u.s. economic research service",NA,"statistical reporting service",0,0,0,1
"u.s. executive branch","u.s. department of agriculture","usda - marketing and regulatory programs",NA,"u.s. agricultural marketing service",1,0,0,0
"u.s. executive branch","u.s. department of agriculture","usda - marketing and regulatory programs",NA,"u.s. animal and plant health inspection service",1,0,0,0
"u.s. executive branch","u.s. department of agriculture","usda - marketing and regulatory programs",NA,"u.s. grain inspection, packers and stockyards administration",1,0,0,0
