"branch","agency","subagency","institution","website","other_website"
"executive office of the u.s. president","white house",NA,"u.s. council of economic advisers","https://www.whitehouse.gov/cea/",NA
"executive office of the u.s. president","white house",NA,"u.s. council on environmental quality","https://www.whitehouse.gov/ceq/",NA
"executive office of the u.s. president","white house",NA,"u.s. national security council","https://www.whitehouse.gov/nsc/",NA
"executive office of the u.s. president","white house",NA,"u.s. office of management and budget","https://www.whitehouse.gov/omb/",NA
"executive office of the u.s. president","white house",NA,"u.s. office of national drug control policy","https://www.whitehouse.gov/ondcp/",NA
"executive office of the u.s. president","white house",NA,"u.s. office of science and technology policy","https://www.whitehouse.gov/ostp/",NA
"executive office of the u.s. president","white house",NA,"u.s. trade representative","https://ustr.gov/",NA
"u.s. executive branch","white house",NA,"u.s. department of agriculture","https://www.usda.gov/",NA
"u.s. executive branch","white house",NA,"u.s. department of commerce","https://www.commerce.gov/",NA
"u.s. executive branch","white house",NA,"u.s. department of the treasury","https://home.treasury.gov/",NA
"u.s. executive branch","white house",NA,"u.s. department of defense","https://www.defense.gov/",NA
"u.s. executive branch","white house",NA,"u.s. department of education","https://www.ed.gov/",NA
"u.s. executive branch","white house",NA,"u.s. department of energy","https://www.energy.gov/",NA
"u.s. executive branch","white house",NA,"u.s. department of health and human services","https://www.hhs.gov/",NA
"u.s. executive branch","white house",NA,"u.s. department of homeland security","https://www.dhs.gov/",NA
"u.s. executive branch","white house",NA,"u.s. department of housing and urban development","https://www.hud.gov/",NA
"u.s. executive branch","white house",NA,"u.s. department of justice","https://www.justice.gov/",NA
"u.s. executive branch","white house",NA,"u.s. department of labor","https://www.dol.gov/",NA
"u.s. executive branch","white house",NA,"u.s. department of state","https://www.state.gov/",NA
"u.s. executive branch","white house",NA,"u.s. department of the interior","https://www.doi.gov/",NA
"u.s. executive branch","white house",NA,"u.s. department of transportation","https://www.transportation.gov/",NA
"u.s. executive branch","white house",NA,"u.s. department of veterans affairs","https://www.va.gov/",NA
"u.s. executive branch","u.s. department of agriculture","usda - marketing and regulatory programs","u.s. agricultural marketing service","https://www.ams.usda.gov/",NA
"u.s. executive branch","u.s. department of agriculture","usda - marketing and regulatory programs","u.s. animal and plant health inspection service","https://www.aphis.usda.gov/aphis/home/",NA
"u.s. executive branch","u.s. department of agriculture","usda - marketing and regulatory programs","u.s. grain inspection, packers and stockyards administration","https://www.gipsa.usda.gov/",NA
"u.s. executive branch","u.s. department of agriculture","usda - rural development","u.s. rural business-cooperative service","https://www.rd.usda.gov/about-rd/agencies/rural-business-cooperative-service",NA
"u.s. executive branch","u.s. department of agriculture","usda - rural development","u.s. rural housing service","https://www.rd.usda.gov/about-rd/agencies/rural-housing-service",NA
"u.s. executive branch","u.s. department of agriculture","usda - rural development","u.s. rural utilities service","https://www.rd.usda.gov/about-rd/agencies/rural-utilities-service",NA
"u.s. executive branch","u.s. department of agriculture",NA,"u.s. agricultural research service","https://www.ars.usda.gov/",NA
"u.s. executive branch","u.s. department of agriculture",NA,"u.s. national library of agriculture","https://www.nal.usda.gov/main/",NA
"u.s. executive branch","u.s. department of agriculture",NA,"u.s. center for nutrition policy and promotion","https://www.fns.usda.gov/cnpp","https://www.choosemyplate.gov/"
"u.s. executive branch","u.s. department of agriculture",NA,"u.s. economic research service","https://www.ers.usda.gov/",NA
"u.s. executive branch","u.s. department of agriculture",NA,"u.s. farm service agency","https://www.fsa.usda.gov/",NA
"u.s. executive branch","u.s. department of agriculture",NA,"u.s. national institute of food and agriculture","https://nifa.usda.gov/",NA
"u.s. executive branch","u.s. department of agriculture",NA,"u.s. food and nutrition service","https://www.fns.usda.gov/",NA
"u.s. executive branch","u.s. department of agriculture",NA,"u.s. food safety and inspection service","https://www.fsis.usda.gov/wps/portal/fsis/home",NA
"u.s. executive branch","u.s. department of agriculture",NA,"u.s. foreign agricultural service","https://www.fas.usda.gov/",NA
"u.s. executive branch","u.s. department of agriculture",NA,"u.s. forest service","https://www.fs.usda.gov/",NA
"u.s. executive branch","u.s. department of agriculture",NA,"usda - marketing and regulatory programs","https://www.aphis.usda.gov/aphis/ourfocus/business-services",NA
"u.s. executive branch","u.s. department of agriculture",NA,"u.s. national agricultural statistics service","https://www.nass.usda.gov/",NA
"u.s. executive branch","u.s. department of agriculture",NA,"u.s. natural resources conservation service","https://www.nrcs.usda.gov/wps/portal/nrcs/site/national/home/",NA
"u.s. executive branch","u.s. department of agriculture",NA,"u.s. risk management agency","https://www.rma.usda.gov/",NA
"u.s. executive branch","u.s. department of agriculture",NA,"usda - rural development","https://www.rd.usda.gov/",NA
"u.s. executive branch","u.s. department of commerce","u.s. international trade administration","u.s. committee for the implementation of textile agreements","https://otexa.trade.gov/cita_otexa.htm",NA
"u.s. executive branch","u.s. department of commerce","u.s. national institute of standards and technology","u.s. weights and measures division","https://www.nist.gov/pml/weights-and-measures",NA
"u.s. executive branch","u.s. department of commerce","u.s. national oceanic and atmospheric administration","u.s. national marine fisheries service","https://www.fisheries.noaa.gov/",NA
"u.s. executive branch","u.s. department of commerce","u.s. national oceanic and atmospheric administration","u.s. national ocean service","https://oceanservice.noaa.gov/",NA
"u.s. executive branch","u.s. department of commerce","u.s. national oceanic and atmospheric administration","u.s. national weather service","https://www.weather.gov/",NA
"u.s. executive branch","u.s. department of commerce","u.s. national oceanic and atmospheric administration","u.s. seafood inspection program","https://www.fisheries.noaa.gov/topic/seafood-commerce-certification#seafood-inspection","https://www.fishwatch.gov/"
"u.s. executive branch","u.s. department of commerce",NA,"u.s. bureau of economic analysis","https://www.bea.gov/",NA
"u.s. executive branch","u.s. department of commerce",NA,"u.s. bureau of industry and security","https://www.bis.doc.gov/",NA
"u.s. executive branch","u.s. department of commerce",NA,"u.s. census bureau","https://www.census.gov/",NA
"u.s. executive branch","u.s. department of commerce",NA,"u.s. economic development administration","https://www.eda.gov/",NA
"u.s. executive branch","u.s. department of commerce",NA,"u.s. international trade administration","https://www.trade.gov/",NA
"u.s. executive branch","u.s. department of commerce",NA,"u.s. minority business development agency","https://www.mbda.gov/",NA
"u.s. executive branch","u.s. department of commerce",NA,"u.s. national institute of standards and technology","https://www.nist.gov/",NA
"u.s. executive branch","u.s. department of commerce",NA,"u.s. national oceanic and atmospheric administration","https://www.noaa.gov/",NA
"u.s. executive branch","u.s. department of commerce",NA,"u.s. national technical information service","https://www.ntis.gov/",NA
"u.s. executive branch","u.s. department of commerce",NA,"u.s. national telecommunications and information administration","https://www.ntia.doc.gov/",NA
"u.s. executive branch","u.s. department of commerce",NA,"u.s. patent and trademark office","https://www.uspto.gov/",NA
"u.s. executive branch","u.s. department of defense","u.s. air force","u.s. air force reserve command","https://www.afrc.af.mil/","https://www.afreserve.com/"
"u.s. executive branch","u.s. department of defense","u.s. defense finance and accounting service","u.s. defense finance and accounting service - debt and claims management center","https://www.dfas.mil/debtandclaims/",NA
