"branch","agency","subagency","institution","website","other_website"
"u.s. executive branch","u.s. department of defense","u.s. defense intelligence agency","u.s. national intelligence university","https://ni-u.edu/wp/",NA
"u.s. executive branch","u.s. department of defense","u.s. department of the army","u.s. army corps of engineers","https://www.usace.army.mil/",NA
"u.s. executive branch","u.s. department of defense","u.s. department of the army","u.s. joint program executive office for chemical and biological defense","https://www.jpeocbrnd.osd.mil/",NA
"u.s. executive branch","u.s. department of defense","u.s. department of the army","u.s. national guard","https://www.nationalguard.mil/","https://www.nationalguard.com/"
"u.s. executive branch","u.s. department of defense","u.s. department of the army","u.s. military academy, west point","https://www.westpoint.edu/",NA
"u.s. executive branch","u.s. department of defense","u.s. department of the navy","u.s. marine corps","https://www.marines.mil/",NA
"u.s. executive branch","u.s. department of defense","u.s. national defense university","dwight d. eisenhower school for national security and resource strategy","https://www.ndu.edu/Academics/CollegesCenters/TheEisenhowerSchool.aspx",NA
"u.s. executive branch","u.s. department of defense","u.s. national defense university","u.s. national defense university - college of information and cyberspace","https://cic.ndu.edu/",NA
"u.s. executive branch","u.s. department of defense","u.s. national defense university","u.s. joint forces staff college","https://jfsc.ndu.edu/",NA
"u.s. executive branch","u.s. department of defense","u.s. national defense university","u.s. national war college","https://www.ndu.edu/Academics/CollegesCenters/NationalWarCollege.aspx",NA
"u.s. executive branch","u.s. department of defense","u.s. unified combatant commands","u.s. central command","https://www.centcom.mil/",NA
"u.s. executive branch","u.s. department of defense","u.s. unified combatant commands","u.s. european command","https://www.eucom.mil/",NA
"u.s. executive branch","u.s. department of defense","u.s. unified combatant commands","u.s. northern command","https://www.northcom.mil/",NA
"u.s. executive branch","u.s. department of defense","u.s. unified combatant commands","u.s. pacific command","https://www.pacom.mil/",NA
"u.s. executive branch","u.s. department of defense","u.s. unified combatant commands","u.s. southern command","https://www.southcom.mil/",NA
"u.s. executive branch","u.s. department of defense","u.s. unified combatant commands","u.s. special operations command","https://www.socom.mil/",NA
"u.s. executive branch","u.s. department of defense","u.s. unified combatant commands","u.s. strategic command","https://www.stratcom.mil/",NA
"u.s. executive branch","u.s. department of defense","u.s. unified combatant commands","u.s. transportation command","https://www.ustranscom.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. air force","https://www.af.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. department of the army","https://www.army.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. defense acquisition university","https://www.dau.edu/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. defense advanced research projects agency","https://www.darpa.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. defense commissary agency","https://www.commissaries.com/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. defense contract audit agency","https://www.dcaa.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. defense contract management agency","https://www.dcma.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. defense finance and accounting service","https://www.dfas.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. defense health agency","https://www.health.mil/About-MHS/Contact-Us","https://tricare.mil/ContactUs"
"u.s. executive branch","u.s. department of defense",NA,"u.s. defense information systems agency","https://www.disa.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. defense intelligence agency","https://www.dia.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. defense logistics agency","https://www.dla.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. defense security cooperation agency","https://www.dsca.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. defense security service","https://www.dcsa.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. defense technical information center","https://discover.dtic.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. defense threat reduction agency","https://www.dtra.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. federal voting assistance program","https://www.fvap.gov/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. fleet forces command","https://www.public.navy.mil/usff/Pages/default.aspx",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. joint chiefs of staff","https://www.jcs.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. department of the navy","https://www.navy.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. missile defense agency","https://www.mda.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. national defense university","https://www.ndu.edu/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. national geospatial-intelligence agency","https://www.nga.mil/Pages/Default.aspx",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. national reconnaissance office","https://www.nro.gov/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. national security agency","https://www.nsa.gov/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. office of economic adjustment","https://oea.gov/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. pentagon force protection agency","https://www.pfpa.mil/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. prisoner of war and missing in action accounting agency","https://www.dpaa.mil//",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. unified combatant commands","https://www.defense.gov/Our-Story/Combatant-Commands/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. uniformed services university of the health sciences","https://www.usuhs.edu/",NA
"u.s. executive branch","u.s. department of defense",NA,"u.s. washington headquarters services","https://www.whs.mil/",NA
"u.s. executive branch","u.s. department of education","u.s. office of special education and rehabilitative services","u.s. center for parent information and resources","https://www.parentcenterhub.org/",NA
"u.s. executive branch","u.s. department of education","u.s. office of special education and rehabilitative services","u.s. rehabilitation services administration","https://www2.ed.gov/about/offices/list/osers/rsa/index.html?exp=0",NA
"u.s. executive branch","u.s. department of education",NA,"u.s. office of career, technical, and adult education","https://www2.ed.gov/about/offices/list/ovae/index.html",NA
"u.s. executive branch","u.s. department of education",NA,"u.s. commission on presidential scholars","https://www2.ed.gov/programs/psp/commission.html?exp=0",NA
"u.s. executive branch","u.s. department of education",NA,"u.s. office of elementary and secondary education","https://oese.ed.gov/",NA
"u.s. executive branch","u.s. department of education",NA,"u.s. english language acquisition office","https://www2.ed.gov/about/offices/list/oela/index.html?src=oc",NA
"u.s. executive branch","u.s. department of education",NA,"u.s. federal student aid information center","https://studentaid.gov/",NA
"u.s. executive branch","u.s. department of education",NA,"u.s. institute of education sciences","https://www2.ed.gov/about/offices/list/ies/index.html",NA
"u.s. executive branch","u.s. department of education",NA,"u.s. office of postsecondary education","https://www2.ed.gov/about/offices/list/ope/index.html",NA
"u.s. executive branch","u.s. department of education",NA,"u.s. office of special education and rehabilitative services","https://www2.ed.gov/about/offices/list/osers/index.html",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","ames laboratory","https://www.ameslab.gov/",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","argonne national laboratory","https://www.anl.gov/",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","brookhaven national laboratory","https://www.bnl.gov/world/",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","fermi national accelerator laboratory","https://www.fnal.gov/",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","frederick national laboratory for cancer research","https://frederick.cancer.gov/",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","idaho national laboratory","https://inl.gov/",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","lawrence berkeley national laboratory","https://www.lbl.gov/",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","lawrence livermore national laboratory","https://www.llnl.gov/",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","los alamos national laboratory","https://www.lanl.gov/",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","national energy technology laboratory","https://www.netl.doe.gov/",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","national renewable energy laboratory","https://www.nrel.gov/",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","oak ridge national laboratory","https://www.ornl.gov/",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","pacific northwest national laboratory","https://www.pnnl.gov/",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","princeton plasma physics laboratory","https://www.pppl.gov/",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","savannah river national laboratory","https://srnl.doe.gov/",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","slac national accelerator laboratory","https://www6.slac.stanford.edu/",NA
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","thomas jefferson national accelerator facility","https://www.jlab.org/",NA
"u.s. executive branch","u.s. department of energy","u.s. office of science","u.s. office of scientific and technical information","https://www.osti.gov/",NA
"u.s. executive branch","u.s. department of energy","u.s. power administrations","u.s.  bonneville power administration","https://www.bpa.gov/Pages/home.aspx",NA
"u.s. executive branch","u.s. department of energy","u.s. power administrations","u.s. southeastern power administration","https://www.energy.gov/sepa/southeastern-power-administration",NA
"u.s. executive branch","u.s. department of energy","u.s. power administrations","u.s. southwestern power administration","https://www.swpa.gov/",NA
"u.s. executive branch","u.s. department of energy","u.s. power administrations","u.s. western area power administration","https://www.wapa.gov/Pages/Western.aspx",NA
"u.s. executive branch","u.s. department of energy",NA,"u.s. energy information administration","https://www.eia.gov/",NA
"u.s. executive branch","u.s. department of energy",NA,"u.s. office of environmental management","https://www.energy.gov/em/office-environmental-management",NA
"u.s. executive branch","u.s. department of energy",NA,"u.s. federal energy regulatory commission","https://www.ferc.gov/",NA
"u.s. executive branch","u.s. department of energy",NA,"u.s. office of fossil energy","https://www.energy.gov/fe/office-fossil-energy",NA
"u.s. executive branch","u.s. department of energy",NA,"u.s. national laboratories","https://www.energy.gov/national-laboratories",NA
"u.s. executive branch","u.s. department of energy",NA,"u.s. national nuclear security administration","https://www.energy.gov/nnsa/national-nuclear-security-administration",NA
"u.s. executive branch","u.s. department of energy",NA,"u.s. office of nuclear energy","https://www.energy.gov/ne/office-nuclear-energy",NA
"u.s. executive branch","u.s. department of energy",NA,"u.s. power administrations","https://www.energy.gov/offices",NA
"u.s. executive branch","u.s. department of energy",NA,"u.s. office of science","https://www.energy.gov/science/office-science",NA
"u.s. executive branch","u.s. department of health and human services","u.s. administration for children and families","u.s. administration for native americans","https://www.acf.hhs.gov/ana",NA
"u.s. executive branch","u.s. department of health and human services","u.s. administration for children and families","u.s. office of child support enforcement","https://www.acf.hhs.gov/css",NA
"u.s. executive branch","u.s. department of health and human services","u.s. administration for children and families","u.s. office of refugee resettlement","https://www.acf.hhs.gov/orr",NA
"u.s. executive branch","u.s. department of health and human services","u.s. centers for disease control and prevention","cdc - agency for toxic substances and disease registry","https://www.atsdr.cdc.gov/",NA
"u.s. executive branch","u.s. department of health and human services","u.s. centers for disease control and prevention","cdc - national institute of occupational safety and health","https://www.cdc.gov/niosh/",NA
"u.s. executive branch","u.s. department of health and human services","u.s. centers for disease control and prevention","cdc - national prevention information network","https://npin.cdc.gov/",NA
"u.s. executive branch","u.s. department of health and human services","u.s. centers for medicare and medicaid services","medicaid ","https://www.cms.gov/",NA
"u.s. executive branch","u.s. department of health and human services","u.s. centers for medicare and medicaid services","medicare ","https://www.cms.gov/",NA
"u.s. executive branch","u.s. department of health and human services","u.s. food and drug administration","u.s. center for food safety and applied nutrition","https://www.fda.gov/about-fda/fda-organization/center-food-safety-and-applied-nutrition-cfsan",NA
"u.s. executive branch","u.s. department of health and human services","u.s. national institutes of health","nih - national institute of arthritis, musculoskeletal and skin diseases","https://www.niams.nih.gov/",NA
"u.s. executive branch","u.s. department of health and human services","u.s. national institutes of health","nih - national heart, lung, and blood institute","https://www.nhlbi.nih.gov/",NA
"u.s. executive branch","u.s. department of health and human services","u.s. national institutes of health","nih - national institute of deafness and other communication disorders","https://www.nidcd.nih.gov/",NA
"u.s. executive branch","u.s. department of health and human services","u.s. national institutes of health","nih - national institute of diabetes and digestive and kidney diseases","https://www.niddk.nih.gov/",NA
"u.s. executive branch","u.s. department of health and human services","u.s. national institutes of health","nih - national institute of mental health","https://www.nimh.nih.gov/index.shtml",NA
"u.s. executive branch","u.s. department of health and human services","u.s. national institutes of health","nih - national institute of neurological disorders and stroke","https://www.ninds.nih.gov/",NA
"u.s. executive branch","u.s. department of health and human services","u.s. national institutes of health","u.s. substance abuse and mental health services administration","https://www.samhsa.gov/",NA
"u.s. executive branch","u.s. department of health and human services",NA,"u.s. administration for children and families","https://www.acf.hhs.gov/",NA
"u.s. executive branch","u.s. department of health and human services",NA,"u.s. administration for community living","https://acl.gov/",NA
"u.s. executive branch","u.s. department of health and human services",NA,"u.s. agency for healthcare research and quality","https://www.ahrq.gov/",NA
"u.s. executive branch","u.s. department of health and human services",NA,"u.s. centers for disease control and prevention","https://www.cdc.gov/",NA
"u.s. executive branch","u.s. department of health and human services",NA,"u.s. centers for medicare and medicaid services","https://www.cms.gov/",NA
"u.s. executive branch","u.s. department of health and human services",NA,"u.s. food and drug administration","https://www.fda.gov/",NA
"u.s. executive branch","u.s. department of health and human services",NA,"u.s. health resources and services administration","https://www.hrsa.gov/",NA
"u.s. executive branch","u.s. department of health and human services",NA,"u.s. indian health service","https://www.ihs.gov/",NA
"u.s. executive branch","u.s. department of health and human services",NA,"u.s. office of minority health","https://minorityhealth.hhs.gov/",NA
"u.s. executive branch","u.s. department of health and human services",NA,"u.s. national cancer institute","https://www.cancer.gov/",NA
"u.s. executive branch","u.s. department of health and human services",NA,"u.s. national health information center","https://health.gov/our-work/health-literacy/resources/national-health-information-center",NA
"u.s. executive branch","u.s. department of health and human services",NA,"u.s. national institutes of health","https://www.nih.gov/",NA
"u.s. executive branch","u.s. department of health and human services",NA,"u.s. president's council on fitness, sports and nutrition","https://www.hhs.gov/fitness/index.html",NA
"u.s. executive branch","u.s. department of homeland security","u.s. federal emergency management agency","u.s. fire administration","https://www.usfa.fema.gov/",NA
"u.s. executive branch","u.s. department of homeland security","u.s. federal emergency management agency","u.s. national flood insurance program","https://www.floodsmart.gov/",NA
"u.s. executive branch","u.s. department of homeland security",NA,"u.s. citizenship and immigration services","https://www.uscis.gov/",NA
"u.s. executive branch","u.s. department of homeland security",NA,"u.s. coast guard","https://www.uscg.mil/","https://www.uscgboating.org/"
"u.s. executive branch","u.s. department of homeland security",NA,"u.s. computer emergency readiness team","https://www.us-cert.gov/",NA
"u.s. executive branch","u.s. department of homeland security",NA,"u.s. customs and border protection","https://www.cbp.gov/",NA
"u.s. executive branch","u.s. department of homeland security",NA,"u.s. cybersecurity and infrastructure security agency","https://www.cisa.gov/",NA
"u.s. executive branch","u.s. department of homeland security",NA,"u.s. federal emergency management agency","https://www.fema.gov/",NA
"u.s. executive branch","u.s. department of homeland security",NA,"u.s. federal law enforcement training center","https://www.fletc.gov/",NA
"u.s. executive branch","u.s. department of homeland security",NA,"u.s. federal protective service","https://www.dhs.gov/topic/federal-protective-service",NA
"u.s. executive branch","u.s. department of homeland security",NA,"u.s. immigration and customs enforcement","https://www.ice.gov/",NA
"u.s. executive branch","u.s. department of homeland security",NA,"u.s. secret service","https://www.secretservice.gov/",NA
"u.s. executive branch","u.s. department of homeland security",NA,"u.s. transportation security administration","https://www.tsa.gov/",NA
"u.s. executive branch","u.s. department of housing and urban development","u.s. office of housing","u.s. federal housing administration","https://www.hud.gov/federal_housing_administration",NA
"u.s. executive branch","u.s. department of housing and urban development",NA,"u.s. office of community planning and development","https://www.hud.gov/program_offices/comm_planning",NA
"u.s. executive branch","u.s. department of housing and urban development",NA,"u.s. office of fair housing and equal opportunity","https://www.hud.gov/program_offices/fair_housing_equal_opp",NA
"u.s. executive branch","u.s. department of housing and urban development",NA,"u.s. government national mortgage association","https://www.ginniemae.gov/pages/default.aspx",NA
"u.s. executive branch","u.s. department of housing and urban development",NA,"u.s. office of housing","https://www.hud.gov/program_offices/housing",NA
"u.s. executive branch","u.s. department of housing and urban development",NA,"u.s. office of manufactured housing programs","https://www.hud.gov/program_offices/housing/rmra/mhs/mhshome",NA
"u.s. executive branch","u.s. department of housing and urban development",NA,"u.s. office of multifamily housing","https://www.hud.gov/program_offices/housing/mfh",NA
"u.s. executive branch","u.s. department of housing and urban development",NA,"u.s. office of lead hazard control and healthy homes","https://www.hud.gov/program_offices/healthy_homes",NA
"u.s. executive branch","u.s. department of housing and urban development",NA,"u.s. office of policy development and research","https://www.huduser.gov/portal/home.html",NA
"u.s. executive branch","u.s. department of housing and urban development",NA,"u.s. public and indian housing","https://www.hud.gov/program_offices/public_indian_housing",NA
"u.s. executive branch","u.s. department of justice","u.s. federal bureau of prisons","u.s. national institute of corrections","https://nicic.gov/",NA
"u.s. executive branch","u.s. department of justice","u.s. office of justice programs","u.s. bureau of justice statistics","https://www.bjs.gov/",NA
"u.s. executive branch","u.s. department of justice","u.s. office of justice programs","u.s. office of juvenile justice and delinquency prevention","https://ojjdp.ojp.gov/",NA
"u.s. executive branch","u.s. department of justice","u.s. office of justice programs","u.s. national institute of justice","https://nij.ojp.gov/contact",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. bureau of alcohol, tobacco, firearms and explosives","https://www.atf.gov/",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. antitrust division","https://www.justice.gov/atr",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. federal bureau of prisons","https://www.bop.gov/",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. community oriented policing services","https://www.cops.usdoj.gov/",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. drug enforcement administration","https://www.dea.gov/",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. elder justice initiative","https://www.justice.gov/elderjustice",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. executive office for immigration review","https://www.justice.gov/eoir",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. federal bureau of investigation","https://www.fbi.gov/",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. foreign claims settlement commission","https://www.justice.gov/fcsc",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. office of immigrant and employee rights","https://www.justice.gov/crt/immigrant-and-employee-rights-section",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. national central bureau - interpol","https://www.justice.gov/interpol-washington",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. office of justice programs","https://www.ojp.gov/",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. marshals service","https://www.usmarshals.gov//",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. office of the pardon attorney","https://www.justice.gov/pardon",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. office on violence against women","https://www.justice.gov/ovw",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. parole commission","https://www.justice.gov/uspc",NA
"u.s. executive branch","u.s. department of justice",NA,"u.s. trustee program","https://www.justice.gov/ust",NA
"u.s. executive branch","u.s. department of labor",NA,"u.s. bureau of international labor affairs","https://www.dol.gov/agencies/ilab",NA
"u.s. executive branch","u.s. department of labor",NA,"u.s. bureau of labor statistics","https://stats.bls.gov/",NA
"u.s. executive branch","u.s. department of labor",NA,"u.s. office of disability employment policy","https://www.dol.gov/odep/",NA
"u.s. executive branch","u.s. department of labor",NA,"u.s. employee benefits security administration","https://www.dol.gov/agencies/ebsa",NA
"u.s. executive branch","u.s. department of labor",NA,"u.s. employment and training administration","https://www.dol.gov/agencies/eta/",NA
"u.s. executive branch","u.s. department of labor",NA,"u.s. wage and hour division","https://www.dol.gov/agencies/whd",NA
"u.s. executive branch","u.s. department of labor",NA,"u.s. job corps","https://www.jobcorps.gov/",NA
"u.s. executive branch","u.s. department of labor",NA,"u.s. mine safety and health administration","https://www.msha.gov/",NA
"u.s. executive branch","u.s. department of labor",NA,"u.s. occupational safety and health administration","https://www.osha.gov/",NA
"u.s. executive branch","u.s. department of labor",NA,"u.s. veterans' employment and training service","https://www.dol.gov/agencies/vets",NA
"u.s. executive branch","u.s. department of labor",NA,"u.s. women's bureau","https://www.dol.gov/agencies/wb",NA
"u.s. executive branch","u.s. department of state","u.s. bureau of consular affairs","u.s. national passport information center","https://travel.state.gov/content/travel/en/contact-us/passports.html",NA
"u.s. executive branch","u.s. department of state",NA,"u.s. arms control and international security","https://www.state.gov/bureaus-offices/under-secretary-for-arms-control-and-international-security-affairs/",NA
"u.s. executive branch","u.s. department of state",NA,"u.s. bureau of consular affairs","https://travel.state.gov/content/travel.html",NA
"u.s. executive branch","u.s. department of state",NA,"u.s. economic growth, energy, and the environment","https://www.state.gov/bureaus-offices/under-secretary-for-economic-growth-energy-and-the-environment/",NA
"u.s. executive branch","u.s. department of state",NA,"u.s. political affairs","https://www.state.gov/bureaus-offices/under-secretary-for-political-affairs/",NA
"u.s. executive branch","u.s. department of state",NA,"u.s. public diplomacy and public affairs","https://www.state.gov/bureaus-offices/under-secretary-for-public-diplomacy-and-public-affairs/",NA
"u.s. executive branch","u.s. department of state",NA,"u.s. mission to the united nations","https://usun.usmission.gov/",NA
