"","country_code","add_sub_dels","add_plus_dels","additions","commits","repos","adds_per_repo","add_plus_dels_per_repo","add_sub_dels_per_repo"
"1",NA,192925294655,379727626525,286326460590,195288457,3542750,55181.4422070691,73181.9128219568,37180.9715921815
"2","us",34347347312,101325192382,67836269847,82072203,959596,13073.5496691154,19527.6057826657,6619.49355556506
"3","gb",4876053078,16383978242,10630015660,13249329,254712,2048.63914286452,3157.55500424181,939.723281487229
"4","de",3879408246,12157680848,8018544547,12308131,271551,1545.35089629276,2343.05401499918,747.64777758634
"5","cn",7899682079,16395117995,12147400037,9154026,234593,2341.07267531835,3159.70188104497,1522.44346959173
"6","nl",1945674923,6034264261,3989969592,8027397,107263,768.95539446556,1162.9361949099,374.97459402122
"7","ca",3267030481,8436195907,5851613194,7158449,179314,1127.73529424235,1625.84155138993,629.629037094768
"8","fr",3433084293,7388618135,5410851214,6739207,160626,1042.79071148766,1423.95014336598,661.631279609345
"9","se",860170384,2984552916,1922361650,6204032,72752,370.481610648128,575.189362201565,165.773859094692
"10","us ",3207693578,7702519128,5455106353,5512656,128900,1051.31965565183,1484.4458078892,618.193503414458
"11","au",1525443802,3667830382,2596637092,4603423,120280,500.429402611539,706.872043305431,293.986761917647
"12","jp",1843413858,4134405854,2988909856,4444959,130588,576.029040910666,796.791456936821,355.266624884511
"13","ch",781161640,3247262736,2014212188,4065292,60202,388.183240961622,625.819355390765,150.547126532478
"14","in",3666182135,6990091067,5328136601,3904899,141894,1026.84977599908,1347.14516234719,706.554389650976
"15","ru",1277669035,3875924883,2576796959,3814555,111453,496.605770138787,746.976456487778,246.235083789796
"16","br",2186686634,4886565758,3536626196,2862317,112588,681.586094559493,941.749307453065,421.422881665921
"17","es",1418146420,3690588556,2554367488,2795467,85620,492.2831149599,711.258046822995,273.308183096805
"18","multiple",1329647474,2931362386,2130504930,2564150,107406,410.595424622718,564.938370549902,256.252478695533
"19","pl",979949937,3388399051,2184174494,2555667,77641,420.938736721928,653.019445083639,188.858028360216
"20","be",519609996,1364564870,942087433,1594003,50967,181.561086359167,262.981833242176,100.140339476158
"21","it",623656454,1753585420,1188620937,1582132,59804,229.073545651437,337.954697967822,120.192393335052
"22","fi",417402929,960038485,688720707,1355856,45586,132.731714043545,185.02065113866,80.4427769484303
"23","ua",583322225,1412467483,997894854,1301667,52222,192.316410789509,272.21372632457,112.419095254449
"24","at",321426287,808890333,565158310,1295417,37333,108.918507066542,155.891059004189,61.9459551288945
"25","de ",448974996,1041552892,745263944,1261481,33296,143.628846492592,200.730280383702,86.5274126014827
"26","no",320247645,1102819151,711533398,1122770,35678,137.12822419287,212.537643640613,61.7188047451269
"27","dk",385073739,973472219,679272979,1085760,37005,130.910927883769,187.609628821053,74.2122269464838
"28","europe",205254682,456037472,330646077,1063385,13247,63.7228125943134,87.8885079415004,39.5571172471264
"29","cz",453571478,1000595502,727083490,1055208,37642,140.125070873559,192.836885394708,87.4132563524101
"30","tw",755684141,1436329951,1096007046,1037317,41338,211.224800330249,276.812551721799,145.637048938699
"31","ro",333733693,920120729,626927211,990992,26669,120.822740554785,177.327616617118,64.3178644924528
"32","nz",301976748,878147814,590062281,920681,39327,113.718053128863,169.238507498239,58.1975987594863
"33","bg",430482825,965001229,697742027,883336,17726,134.470321950009,185.977081678332,82.9635622216852
"34","ar",441761410,1378424894,910093152,827850,28701,175.395080729368,265.652966436672,85.1371950220648
"35","kr",725426179,1732390693,1228908436,827383,29833,236.83783782742,333.870005269023,139.805670385818
"36","ie",666930214,1509895626,1088412920,792144,34830,209.761244275671,290.990284492538,128.532204058805
"37","ca ",205160080,500597094,352878587,790449,32288,68.0075090319221,96.4761327146182,39.538885349226
"38","pt",402912303,951865501,677388902,672353,41196,130.547824571993,183.44553634373,77.6501128002562
"39","by",160385275,357316395,258850835,639983,19223,49.8862814228597,68.8627727933414,30.909790052378
"40","gb ",356962134,967719050,662340592,622338,25631,127.647682381614,186.500865900481,68.7944988627468
"41","cn ",672664402,1341354516,1007009459,613664,30526,194.072996778843,258.508684636848,129.637308920837
"42","il",287580524,606989796,447285160,604703,29014,86.2017438268214,116.980359688854,55.4231279647889
"43","sg",443018375,1108128221,775573298,588366,32691,149.470129420612,213.560818860866,85.3794399803578
"44","gr",280292215,664171847,472232031,527624,18893,91.0095576680469,128.00060572562,54.0185096104739
"45","au ",170332924,388352928,279342926,449764,13711,53.8355606228625,74.844199199124,32.826922046601
"46","id",1352324144,1912278484,1632301314,444658,28568,314.580568060009,368.538361530507,260.622774589512
"47","hu",205306649,845912697,525609673,407321,20832,101.296609940838,163.026087444192,39.5671324374838
"48","fr ",252266892,584932946,418599919,396377,17688,80.673463397637,112.729516818667,48.6174099766074
"49","mx",639014975,1177419387,908217181,384741,23761,175.033539623089,226.914759199494,123.152320046685
"50","tr",396932065,735603425,566267745,359024,20504,109.132319730621,141.767050800394,76.4975886608472
"51","in ",624343652,972113164,798228408,333758,21286,153.836270225705,187.347708861633,120.324831589776
"52","pl ",207384854,469349740,338367297,307999,13902,65.2108624738813,90.4540764389886,39.9676485087741
"53","hk",307233558,806228638,556731098,296762,18250,107.294396912746,155.378091503691,59.2107023218005
"54","nl ",143045329,332120257,237582793,277253,14151,45.7874593019065,64.0069196876822,27.5679989161308
"55","ru ",129833031,266824479,198328755,271481,23925,38.2223379197343,51.4229789905909,25.0216968488777
