domain,n
ull.edu.es,24
correounivalle.edu.co,22
misena.edu.co,20
ufrn.edu.br,17
bil.omu.edu.tr,16
seecs.edu.pk,16
mail.dlut.edu.cn,13
nu.edu.kz,13
snu.edu.in,13
stu.xjtu.edu.cn,13
bjtu.edu.cn,12
csumb.edu,12
g2.nctu.edu.tw,11
srmuniv.edu.in,11
student.rmit.edu.au,11
al.insper.edu.br,10
minerva.kgi.edu,10
ozu.edu.tr,10
sis.smu.edu.sg,10
uni.sydney.edu.au,10
aitpune.edu.in,9
icomp.ufam.edu.br,9
inf.ufpel.edu.br,9
student.hcmus.edu.vn,9
ucop.edu,9
unicauca.edu.co,9
whoi.edu,9
yandex.ru,9
cs.nctu.edu.tw,8
est.fib.upc.edu,8
gm.uit.edu.vn,8
googlemail.com,8
link.cuhk.edu.hk,8
mail.escuelaing.edu.co,8
newschool.edu,8
nitk.edu.in,8
student.unsw.edu.au,8
students.olin.edu,8
ucu.edu.ua,8
ug.bilkent.edu.tr,8
allegheny.edu,7
ce.sharif.edu,7
gapp.nthu.edu.tw,7
isae.edu.lb,7
live.cn,7
my.cityu.edu.hk,7
my.jcu.edu.au,7
std.uestc.edu.cn,7
sz.pku.edu.cn,7
uabc.edu.mx,7
uqconnect.edu.au,7
ashoka.edu.in,6
bxscience.edu,6
comp.nus.edu.sg,6
diu.edu.bd,6
hnu.edu.cn,6
lamda.nju.edu.cn,6
lancaster.ac.uk,6
link.cuhk.edu.cn,6
m.scnu.edu.cn,6
mail.sustc.edu.cn,6
mayo.edu,6
mymail.sutd.edu.sg,6
olin.edu,6
student.uts.edu.au,6
al.infnet.edu.br,5
correo.udistrital.edu.co,5
email.chop.edu,5
email.szu.edu.cn,5
est.frba.utn.edu.ar,5
gia.edu,5
gmx.de,5
ieee.org,5
iki.fi,5
imperial.ac.uk,5
ingenieria.usac.edu.gt,5
jhmi.edu,5
mail.bnu.edu.cn,5
mails.ccnu.edu.cn,5
mica.edu,5
sina.com,5
student.adelaide.edu.au,5
student.pwr.edu.pl,5
student.uj.edu.pl,5
students.mimuw.edu.pl,5
stuy.edu,5
thapar.edu,5
ucsp.edu.pe,5
udo.edu,5
uon.edu.au,5
ad.unsw.edu.au,4
code.edu.az,4
connect.qut.edu.au,4
copin.ufcg.edu.br,4
digital.education.gov.uk,4
durham.ac.uk,4
fci.helwan.edu.eg,4
gis.a-star.edu.sg,4
gmx.net,4
griffithuni.edu.au,4
heritageit.edu.in,4
mail.scut.edu.cn,4
mail.sustech.edu.cn,4
mail.tsinghua.edu.cn,4
maine.edu,4
sigma.ug.edu.pl,4
stu.xmu.edu.cn,4
student.agh.edu.pl,4
uanl.edu.mx,4
uc.cl,4
uea.edu.br,4
ufm.edu,4
umassmed.edu,4
uni-due.de,4
utec.edu.pe,4
wheatoncollege.edu,4
academico.ifrn.edu.br,3
acm.org,3
aluno.fapce.edu.br,3
aluno.ufabc.edu.br,3
asiaa.sinica.edu.tw,3
bellevuecollege.edu,3
cern.ch,3
cis.asu.edu.eg,3
diku.dk,3
eng-st.cu.edu.eg,3
essec.edu,3
frsf.utn.edu.ar,3
hdu.edu.cn,3
horizon.csueastbay.edu,3
ir.hit.edu.cn,3
ittepic.edu.mx,3
iwu.edu,3
kent.ac.uk,3
kocaeli.edu.tr,3
lit.ifce.edu.br,3
live.asia.edu.tw,3
mail.einstein.yu.edu,3
naver.com,3
ncssm.edu,3
neiu.edu,3
