academic_terms,original_string,new_string,domains,country
afghan university,afghan university,afghan university,afghanuniversity.edu.af,Afghanistan
al-birony university|al birony|albirony,al-birony university|al birony|albirony,al-birony university,au.edu.af,Afghanistan
american university of afghanistan,american university of afghanistan,american university of afghanistan,auaf.edu.af,Afghanistan
aria institute of higher education,aria institute of higher education,aria institute of higher education,aria.edu.af,Afghanistan
badakhshan university,badakhshan university,badakhshan university,badakhshan.edu.af,Afghanistan
baghlan university,baghlan university,baghlan university,baghlan.edu.af,Afghanistan
bakhtar university,bakhtar university,bakhtar university,bakhtar.edu.af,Afghanistan
balkh university,balkh university,balkh university,ba.edu.af,Afghanistan
bamiyan university,bamiyan university,bamiyan university,bu.edu.af,Afghanistan
bost university,bost university,bost university,bost.edu.af,Afghanistan
dawat university,dawat university,dawat university,dawat.edu.af,Afghanistan
dunya institute of higher education,dunya institute of higher education,dunya institute of higher education,dunya.edu.af,Afghanistan
faryab higher education institute,faryab higher education institute,faryab higher education institute,faryab.edu.af,Afghanistan
ghazni university,ghazni university,ghazni university,gu.edu.af,Afghanistan
herat university,herat university,herat university,hu.edu.af,Afghanistan
ibn sina university,ibn sina university,ibn sina university,ibnesina.edu.af,Afghanistan
jawzjan university,jawzjan university,jawzjan university,ju.edu.af,Afghanistan
kaboora institute of higher education,kaboora institute of higher education,kaboora institute of higher education,kaboora.edu.af,Afghanistan
kabul education university,kabul education university,kabul education university,keu.edu.af,Afghanistan
kabul health sciences institute,kabul health sciences institute,kabul health sciences institute,kabuli.edu.af,Afghanistan
kabul medical university,kabul medical university,kabul medical university,kmu.edu.af,Afghanistan
kabul university,kabul university,kabul university,ku.edu.af,Afghanistan
kandahar university,kandahar university,kandahar university,kan.edu.af,Afghanistan
kardan university,kardan university,kardan university,kardan.edu.af,Afghanistan
karwan institute of higher education,karwan institute of higher education,karwan institute of higher education,karwan.edu.af,Afghanistan
kateb institute of higher education,kateb institute of higher education,kateb institute of higher education,kateb.edu.af,Afghanistan
khana e noor institute of higher education|khanaenoor,khana e noor institute of higher education|khanaenoor,khana-e-noor institute of higher education,ken.edu.af,Afghanistan
khurasan university,khurasan university,khurasan university,kumsa.net,Afghanistan
maryam institute of higher education,maryam institute of higher education,maryam institute of higher education,maryam.edu.af,Afghanistan
nangarhar university,nangarhar university,nangarhar university,nu.edu.af,Afghanistan
national military academy of afghanistan,national military academy of afghanistan,national military academy of afghanistan,nmaa.edu.af,Afghanistan
paktia university,paktia university,paktia university,pu.edu.af,Afghanistan
pamir university,pamir university,pamir university,pamir.edu.af,Afghanistan
parwan university,parwan university,parwan university,parwan.edu.af,Afghanistan
polytechnical university of kabul,polytechnical university of kabul,polytechnical university of kabul,polytechnic-kabul.org,Afghanistan
rana institute of higher education,rana institute of higher education,rana institute of higher education,rihs.edu.af,Afghanistan
sadat institute of higher education,sadat institute of higher education,sadat institute of higher education,sadat.edu.af,Afghanistan
salam university,salam university,salam university,salam.edu.af,Afghanistan
shaikh zayed university,shaikh zayed university,shaikh zayed university,szu.edu.af,Afghanistan
takhar university,takhar university,takhar university,tu.edu.af,Afghanistan
academy of arts,academy of arts,academy of arts,akademiaearteve.edu.al,Albania
academy of sports and physical training,academy of sports and physical training,academy of sports and physical training,aefs.edu.al,Albania
agricultural university of tirana,agricultural university of tirana,agricultural university of tirana,ubt.edu.al,Albania
american university of tirana,american university of tirana,american university of tirana,uat.edu.al,Albania
beder university,beder university,beder university,beder.edu.al,Albania
ecole pour l'informatique et les nouvelles technologies - albania,ecole pour l'informatique et les nouvelles technologies - albania,ecole pour l'informatique et les nouvelles technologies - albania,epitech.al,Albania
epoka university,epoka university,epoka university,epoka.edu.al,Albania
polytechnic university of tirana,polytechnic university of tirana,polytechnic university of tirana,upt.al,Albania
university pavaresia vlore,university pavaresia vlore,university pavaresia vlore,unipavaresia.edu.al,Albania
university of elbasan aleksander xhuvani,university of elbasan aleksander xhuvani,university of elbasan aleksander xhuvani,uniel.edu.al,Albania
university of gjirokstra eqerem cabej,university of gjirokstra eqerem cabej,university of gjirokstra eqerem cabej,uogj.edu.al,Albania
university of korca fan noli,university of korca fan noli,university of korca fan noli,unkorce.edu.al,Albania
university of new york tirana,university of new york tirana,university of new york tirana,unyt.edu.al,Albania
university of shkodra luigj gurakuqi,university of shkodra luigj gurakuqi,university of shkodra luigj gurakuqi,unishk.edu.al,Albania
university of tirana,university of tirana,university of tirana,unitir.edu.al,Albania
university of vlora ismail qemali,university of vlora ismail qemali,university of vlora ismail qemali,univlora.edu.al,Albania
centre universitaire d'oum el bouaghi,centre universitaire d'oum el bouaghi,centre universitaire d'oum el bouaghi,univ-oeb.dz,Algeria
centre universitaire de jijel,centre universitaire de jijel,centre universitaire de jijel,univ-jijel.dz,Algeria
centre universitaire de tebessa,centre universitaire de tebessa,centre universitaire de tebessa,univ-tebessa.dz,Algeria
centre universitaire de tiaret,centre universitaire de tiaret,centre universitaire de tiaret,univ-tiaret.dz,Algeria
"université abou bekr belkaid, tlemcen","université abou bekr belkaid, tlemcen","université abou bekr belkaid, tlemcen",univ-tlemcen.dz,Algeria
université amar telidji,université amar telidji,université amar telidji,lagh-univ.dz,Algeria
université badji mokhtar,université badji mokhtar,université badji mokhtar,univ-annaba.dz,Algeria
université d'alger,université d'alger,université d'alger,univ-alger.dz,Algeria
université d'alger 3,université d'alger 3,université d'alger 3,univ-alger3.dz,Algeria
université d'oran es-senia,université d'oran es-senia,université d'oran es-senia,univ-oran.dz,Algeria
université de batna,université de batna,université de batna,univ-batna.dz,Algeria
université de béjaia,université de béjaia,université de béjaia,univ-bejaia.dz,Algeria
université de biskra,université de biskra,université de biskra,univ-biskra.dz,Algeria
université de blida,université de blida,université de blida,univ-blida.dz,Algeria
université de chlef,université de chlef,université de chlef,univ-chlef.dz,Algeria
université de guelma,université de guelma,université de guelma,univ-guelma.dz,Algeria
université de m'sila,université de m'sila,université de m'sila,univ-msila.dz,Algeria
université de mostaganem,université de mostaganem,université de mostaganem,univ-mosta.dz,Algeria
université de saida,université de saida,université de saida,univ-saida.dz,Algeria
université de sétif,université de sétif,université de sétif,univ-setif.dz,Algeria
université de sidi-bel-abbès,université de sidi-bel-abbès,université de sidi-bel-abbès,univ-sba.dz,Algeria
